round,clean_accuracy,clean_loss,malicious_accuracy,malicious_loss,accuracy,loss,update_norm,client_accuracies,keep_rate
11,0.9852999999999998,0.04343281460965045,0.0,0.0,0.9852999999999998,0.04343281460965045,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.966, 0.974, 0.98, 0.994, 0.964, 0.984, 0.982, 0.998, 1.0, 0.978, 0.994, 0.99, 0.98, 0.98, 0.998, 0.99, 0.996, 0.982, 0.996, 0.98]",1.0
12,0.9860000000000001,0.04117680772974382,0.0,0.0,0.9860000000000001,0.04117680772974382,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.982, 1.0, 0.984, 0.968, 0.98, 0.974, 0.98, 0.996, 0.982, 0.994, 0.984, 0.98, 0.982, 0.99, 0.968, 0.99, 0.996, 0.994, 0.998, 0.998]",1.0
13,0.9861000000000001,0.03973034059918064,0.0,0.0,0.9861000000000001,0.03973034059918064,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.98, 0.98, 0.996, 1.0, 0.982, 0.996, 0.984, 0.99, 0.996, 0.996, 1.0, 0.99, 0.968, 0.982, 0.974, 0.996, 0.98, 0.984, 0.98, 0.968]",1.0
14,0.9866999999999999,0.038167254953066276,0.0,0.0,0.9866999999999999,0.038167254953066276,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.986, 0.988, 0.982, 0.968, 0.98, 0.99, 0.984, 0.982, 0.996, 0.986, 0.996, 0.974, 0.996, 1.0, 1.0, 0.984, 0.998, 0.996, 0.98, 0.968]",1.0
15,0.9868,0.0367508754381106,0.0,0.0,0.9868,0.0367508754381106,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.984, 0.988, 0.982, 0.98, 0.968, 0.996, 0.97, 1.0, 0.982, 0.998, 0.984, 0.988, 0.986, 0.974, 0.996, 0.986, 1.0, 0.996, 0.998, 0.98]",1.0
16,0.9878,0.03532984224074198,0.0,0.0,0.9878,0.03532984224074198,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.988, 0.998, 0.974, 1.0, 0.984, 0.984, 0.992, 0.984, 0.996, 0.982, 0.99, 0.982, 0.998, 0.97, 1.0, 0.982, 0.996, 0.996, 0.988, 0.972]",1.0
17,0.9879000000000001,0.034298577213712635,0.0,0.0,0.9879000000000001,0.034298577213712635,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.992, 0.972, 0.982, 0.996, 0.988, 0.97, 0.996, 0.982, 1.0, 0.986, 0.984, 0.988, 0.974, 0.998, 0.984, 0.982, 0.998, 0.998, 1.0, 0.988]",1.0
18,0.9882,0.03339051018968462,0.0,0.0,0.9882,0.03339051018968462,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.982, 0.998, 1.0, 0.976, 0.988, 0.996, 0.988, 0.984, 0.972, 0.984, 0.984, 0.996, 0.998, 0.988, 0.984, 0.986, 0.972, 0.992, 0.996]",1.0
19,0.9883999999999998,0.03264626420754553,0.0,0.0,0.9883999999999998,0.03264626420754553,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.982, 0.998, 0.988, 0.988, 0.988, 0.996, 0.97, 0.972, 0.996, 0.984, 0.984, 0.998, 0.988, 1.0, 1.0, 0.984, 0.996, 0.992, 0.988, 0.976]",1.0
20,0.9888999999999999,0.03202732209625765,0.0,0.0,0.9888999999999999,0.03202732209625765,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.982, 0.992, 1.0, 1.0, 0.988, 0.986, 0.984, 0.998, 0.996, 0.996, 0.972, 0.984, 0.988, 0.998, 0.972, 0.99, 0.996, 0.99, 0.988, 0.978]",1.0
21,0.9888999999999999,0.03137625116568756,0.0,0.0,0.9888999999999999,0.03137625116568756,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.982, 0.988, 0.998, 0.972, 1.0, 0.99, 0.976, 0.974, 0.99, 0.998, 0.992, 0.996, 0.986, 0.988, 0.984, 0.998, 1.0, 0.986, 0.996, 0.984]",1.0
22,0.9889999999999999,0.03087563014311172,0.0,0.0,0.9889999999999999,0.03087563014311172,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.996, 0.99, 1.0, 0.986, 0.992, 0.972, 0.984, 0.998, 0.988, 0.99, 0.998, 0.998, 0.986, 0.984, 0.978, 0.996, 0.974, 1.0, 0.988, 0.982]",1.0
23,0.9893000000000001,0.030603045310297717,0.0,0.0,0.9893000000000001,0.030603045310297717,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.998, 0.974, 0.984, 0.974, 0.996, 0.986, 0.986, 0.982, 0.992, 0.992, 0.992, 0.998, 0.988, 1.0, 0.996, 0.984, 1.0, 0.988, 0.978, 0.998]",1.0
24,0.9899000000000001,0.030117411997321143,0.0,0.0,0.9899000000000001,0.030117411997321143,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.998, 0.996, 0.974, 0.984, 0.974, 0.996, 0.986, 0.978, 0.992, 1.0, 1.0, 0.986, 0.982, 0.996, 1.0, 0.99, 0.988, 0.998, 0.994, 0.986]",1.0
25,0.99,0.02974272770195512,0.0,0.0,0.99,0.02974272770195512,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.996, 0.998, 0.974, 0.99, 0.998, 0.982, 1.0, 0.988, 0.996, 0.986, 0.976, 0.984, 0.992, 0.986, 0.986, 0.994, 1.0, 0.996, 0.978, 1.0]",1.0
