round,accuracy,client_accuracies,loss,client_update_norms,keep_rate
35,0.7478,"[0.756, 0.752, 0.752, 0.748, 0.748, 0.754, 0.75, 0.742, 0.746, 0.74, 0.754, 0.734, 0.76, 0.72, 0.74, 0.76, 0.782, 0.746, 0.722, 0.75]",0.7389470056630671,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
36,0.7483,"[0.78, 0.748, 0.75, 0.736, 0.746, 0.748, 0.756, 0.746, 0.754, 0.724, 0.764, 0.74, 0.746, 0.752, 0.722, 0.754, 0.758, 0.744, 0.742, 0.756]",0.7356132107321173,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
37,0.7498,"[0.738, 0.75, 0.748, 0.75, 0.738, 0.758, 0.75, 0.776, 0.762, 0.754, 0.756, 0.752, 0.736, 0.722, 0.746, 0.748, 0.752, 0.754, 0.762, 0.744]",0.7340374264400452,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
38,0.7499,"[0.744, 0.75, 0.758, 0.756, 0.778, 0.748, 0.732, 0.748, 0.754, 0.754, 0.746, 0.754, 0.756, 0.756, 0.756, 0.732, 0.73, 0.756, 0.738, 0.752]",0.7333259476348758,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
39,0.7497,"[0.738, 0.748, 0.778, 0.754, 0.752, 0.748, 0.752, 0.768, 0.756, 0.75, 0.748, 0.74, 0.75, 0.752, 0.748, 0.764, 0.748, 0.746, 0.722, 0.732]",0.733393708942458,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
40,0.7489,"[0.762, 0.756, 0.762, 0.754, 0.752, 0.718, 0.748, 0.752, 0.738, 0.756, 0.752, 0.75, 0.73, 0.776, 0.746, 0.742, 0.734, 0.746, 0.758, 0.746]",0.7319102719891817,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
41,0.7506,"[0.746, 0.758, 0.736, 0.746, 0.746, 0.724, 0.778, 0.758, 0.736, 0.746, 0.756, 0.752, 0.758, 0.758, 0.756, 0.76, 0.762, 0.74, 0.746, 0.75]",0.7345392918214202,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
42,0.7506,"[0.722, 0.75, 0.748, 0.738, 0.75, 0.764, 0.75, 0.738, 0.75, 0.76, 0.75, 0.742, 0.756, 0.762, 0.762, 0.74, 0.752, 0.78, 0.758, 0.74]",0.7339261388406157,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
43,0.751,"[0.75, 0.75, 0.756, 0.776, 0.762, 0.724, 0.76, 0.75, 0.736, 0.756, 0.74, 0.738, 0.754, 0.752, 0.758, 0.76, 0.742, 0.762, 0.744, 0.75]",0.7349669271148741,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
44,0.751,"[0.75, 0.75, 0.754, 0.756, 0.758, 0.746, 0.746, 0.758, 0.756, 0.742, 0.76, 0.754, 0.742, 0.772, 0.744, 0.756, 0.754, 0.752, 0.726, 0.744]",0.7382597722113132,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
45,0.7496,"[0.746, 0.754, 0.752, 0.746, 0.754, 0.746, 0.732, 0.758, 0.744, 0.738, 0.754, 0.778, 0.756, 0.752, 0.75, 0.742, 0.75, 0.748, 0.748, 0.744]",0.7404545886442065,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
46,0.7517,"[0.744, 0.762, 0.752, 0.752, 0.744, 0.756, 0.754, 0.756, 0.752, 0.782, 0.746, 0.736, 0.762, 0.728, 0.758, 0.748, 0.752, 0.746, 0.762, 0.742]",0.7421848989091814,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
47,0.7512,"[0.724, 0.75, 0.75, 0.74, 0.77, 0.776, 0.746, 0.75, 0.752, 0.762, 0.754, 0.754, 0.752, 0.748, 0.74, 0.752, 0.748, 0.758, 0.754, 0.744]",0.7456188456621021,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
48,0.7494,"[0.74, 0.726, 0.76, 0.756, 0.732, 0.758, 0.762, 0.754, 0.75, 0.754, 0.748, 0.75, 0.746, 0.746, 0.732, 0.772, 0.764, 0.746, 0.756, 0.736]",0.7503518853802233,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
49,0.7512,"[0.774, 0.754, 0.726, 0.748, 0.756, 0.738, 0.762, 0.77, 0.732, 0.762, 0.756, 0.742, 0.756, 0.76, 0.744, 0.748, 0.738, 0.76, 0.744, 0.754]",0.7508703095838427,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
50,0.7515,"[0.742, 0.768, 0.75, 0.744, 0.742, 0.73, 0.738, 0.752, 0.752, 0.758, 0.758, 0.762, 0.76, 0.752, 0.768, 0.744, 0.752, 0.754, 0.744, 0.76]",0.7518484242260456,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
