round,clean_accuracy,clean_loss,malicious_accuracy,malicious_loss,accuracy,loss,client_accuracies,client_update_norms,keep_rate
21,0.9901000000000002,0.029210828872214732,0.0,0.0,0.9901000000000002,0.029210828872214732,"[0.994, 1.0, 0.976, 0.984, 1.0, 0.986, 0.986, 0.98, 0.986, 0.988, 1.0, 0.99, 0.996, 0.988, 0.994, 0.996, 0.998, 0.974, 0.998, 0.988]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
22,0.9899000000000001,0.028624640612622442,0.0,0.0,0.9899000000000001,0.028624640612622442,"[0.998, 0.998, 0.974, 0.986, 0.986, 0.976, 0.986, 1.0, 0.99, 1.0, 0.996, 0.984, 1.0, 0.988, 0.996, 0.978, 0.994, 0.986, 0.994, 0.988]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
23,0.9903000000000001,0.028040166534503898,0.0,0.0,0.9903000000000001,0.028040166534503898,"[1.0, 0.998, 0.986, 0.998, 0.986, 0.996, 0.994, 0.988, 0.992, 0.98, 0.976, 0.988, 0.994, 0.986, 0.996, 0.976, 0.986, 0.986, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
24,0.9900999999999998,0.027696203696325482,0.0,0.0,0.9900999999999998,0.027696203696325482,"[0.984, 0.986, 0.988, 0.998, 0.98, 0.986, 0.986, 0.988, 0.994, 0.976, 1.0, 0.994, 0.99, 1.0, 0.998, 0.986, 1.0, 0.976, 0.996, 0.996]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
25,0.9904,0.027209238075329267,0.0,0.0,0.9904,0.027209238075329267,"[0.978, 0.984, 1.0, 0.994, 0.986, 0.98, 1.0, 1.0, 0.988, 0.994, 0.99, 0.976, 0.986, 0.998, 0.994, 0.986, 0.988, 0.998, 0.996, 0.992]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
26,0.9906,0.026919939826305493,0.0,0.0,0.9906,0.026919939826305493,"[1.0, 0.996, 0.978, 0.998, 0.984, 0.998, 0.996, 0.996, 0.984, 0.992, 0.98, 1.0, 0.988, 0.986, 0.988, 0.99, 0.994, 0.986, 0.978, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
27,0.9909000000000001,0.026476818740445652,0.0,0.0,0.9909000000000001,0.026476818740445652,"[0.988, 0.996, 0.994, 0.998, 0.988, 0.986, 0.998, 0.988, 0.978, 1.0, 1.0, 0.99, 0.98, 0.992, 0.988, 0.996, 0.978, 0.984, 1.0, 0.996]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
28,0.9911000000000001,0.026116983384048352,0.0,0.0,0.9911000000000001,0.026116983384048352,"[0.984, 0.988, 0.998, 0.978, 1.0, 0.996, 0.988, 0.988, 0.988, 0.994, 1.0, 0.996, 0.982, 1.0, 0.992, 0.996, 0.978, 0.992, 0.998, 0.986]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
29,0.9910000000000002,0.025881696914778728,0.0,0.0,0.9910000000000002,0.025881696914778728,"[0.988, 0.988, 0.978, 1.0, 0.984, 0.996, 0.998, 0.996, 0.982, 0.986, 0.992, 0.988, 0.978, 0.986, 0.996, 1.0, 0.994, 0.992, 0.998, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
30,0.9914999999999999,0.02562043390567794,0.0,0.0,0.9914999999999999,0.02562043390567794,"[0.992, 0.988, 0.988, 0.998, 0.992, 0.996, 0.998, 0.982, 0.978, 0.986, 0.998, 0.984, 1.0, 1.0, 0.99, 0.996, 0.988, 1.0, 0.98, 0.996]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
31,0.9917,0.025464374545508407,0.0,0.0,0.9917,0.025464374545508407,"[0.982, 0.996, 0.994, 1.0, 0.984, 0.988, 0.996, 0.99, 0.998, 0.988, 0.996, 0.978, 0.992, 0.998, 0.986, 0.988, 1.0, 1.0, 0.98, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
32,0.9917999999999999,0.025151384440479773,0.0,0.0,0.9917999999999999,0.025151384440479773,"[0.996, 0.996, 0.998, 0.988, 0.978, 0.988, 1.0, 0.98, 0.992, 0.994, 0.99, 0.998, 0.99, 0.984, 1.0, 1.0, 0.982, 0.996, 1.0, 0.986]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
33,0.9917999999999998,0.02511992797190459,0.0,0.0,0.9917999999999998,0.02511992797190459,"[0.988, 1.0, 0.982, 1.0, 0.998, 0.988, 0.986, 0.99, 1.0, 0.978, 0.996, 0.992, 1.0, 0.998, 0.996, 0.994, 0.98, 0.996, 0.984, 0.99]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
34,0.992,0.024785869973992902,0.0,0.0,0.992,0.024785869973992902,"[1.0, 0.992, 0.988, 0.996, 1.0, 0.998, 1.0, 0.988, 0.992, 0.982, 0.986, 0.996, 0.996, 0.98, 0.986, 0.998, 0.99, 1.0, 0.978, 0.994]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
35,0.9923,0.02464906953145842,0.0,0.0,0.9923,0.02464906953145842,"[1.0, 0.996, 0.988, 0.996, 0.992, 0.998, 1.0, 0.992, 0.984, 0.994, 1.0, 0.988, 0.998, 0.988, 0.988, 0.99, 0.996, 1.0, 0.98, 0.978]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
36,0.9921999999999999,0.024418190713136313,0.0,0.0,0.9921999999999999,0.024418190713136313,"[0.998, 1.0, 0.994, 0.998, 0.98, 0.996, 0.988, 0.988, 0.992, 1.0, 0.988, 0.992, 1.0, 1.0, 0.99, 0.988, 0.98, 0.982, 0.994, 0.996]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
